package,total_downloads
antitrust,7904
antiword,87109
AntMAN,755
AntWeb,6353
anyLib,5825
anytime,188568
aod,86581
aods3,9156
aoos,8731
Aoptbdtvc,4375
aoristic,6292
apa,10247
ApacheLogProcessor,6120
apaTables,26973
apaText,4804
apc,6885
APCanalysis,5235
apcf,5163
apcluster,24806
apdesign,5165
ape,563748
apercu,14017
apex,10585
apexcharter,3211
APFr,2585
APfun,7588
aphid,8982
APIS,2072
aplore3,7602
aplpack,172936
APML0,5492
apmsWAPP,5573
apng,5215
apollo,9289
apparent,4258
APPEstimation,4791
apple,6546
AppliedPredictiveModeling,40989
appnn,5494
approximator,8064
approxmatch,5023
aprean3,6110
apricom,5635
aprof,8134
APSIM,8869
APSIMBatch,6666
apsimr,6431
apsrtable,11341
apt,9717
aptg,5117
APtools,6054
apTreeshape,10625
apyramid,0
aqfig,7541
aqp,37093
aqr,6284
AquaEnv,7250
AR,5779
ar.matrix,4375
AR1seg,6175
arabicStemR,6242
ArArRedux,6197
arc,5759
ARCensReg,6286
ArchaeoChron,4847
ArchaeoPhases,7017
archdata,451751
archetypal,2273
archetypes,16875
archiDART,7586
archivist,29400
archivist.github,5695
ArCo,5431
arcos,2155
ArDec,8840
areal,6546
areaplot,6640
arena2r,4307
arf3DS4,6268
arfima,11900
ArfimaMLM,6126
argo,3040
argon2,17382
argonDash,26327
argonR,27201
argosfilter,9893
argparse,488169
argparser,11348
ArgumentCheck,7189
ARHT,4451
ari,5955
ARIbrain,4309
aricode,6150
arkdb,5037
arkhe,327
arm,416082
armada,3410
armspp,3975
arnie,5831
AROC,4769
aroma.affymetrix,21092
aroma.apd,11904
aroma.cn,7320
aroma.core,18598
Arothron,5008
ARpLMEC,4414
ARPobservation,6735
arpr,8711
aRpsDCA,7240
arrangements,20409
arrApply,6763
ArrayBin,6315
arrayhelpers,17947
arrow,36222
ars,8388
arse,2683
arsenal,29043
ART,5660
artfima,5975
ARTIVA,6076
ARTool,10213
ARTP,6666
ARTP2,5440
arules,431310
arulesCBA,10507
arulesNBMiner,7739
arulesSequences,26175
arulesViz,196420
aRxiv,10259
asaur,8705
asbio,39216
asciicast,360
asciiruler,4516
asciiSetupReader,6480
asd,7514
asdreader,6108
ASGS.foyer,4634
ash,65889
asht,6477
AsioHeaders,17835
ASIP,4648
askpass,4139662
aslib,4625
ASMap,8063
asnipe,11008
aspace,10906
ASPBay,5895
aSPC,4704
aspect,7846
aspi,4800
aSPU,6494
asremlPlus,19453
ASSA,5442
AssayCorrector,4859
assertable,7728
assertive,39389
assertive.base,137272
assertive.code,38875
assertive.data,39630
assertive.data.uk,40349
assertive.data.us,38845
assertive.datetimes,37271
assertive.files,40055
assertive.matrices,39197
assertive.models,38621
assertive.numbers,40253
assertive.properties,42522
assertive.reflection,132028
assertive.sets,38233
assertive.strings,39781
assertive.types,42428
assertr,17222
assertthat,6857205
AssetCorr,4623
AssetPricing,6712
assignPOP,6633
assignR,627
assist,10917
ASSISTant,5430
AssocAFC,4588
assocInd,4869
ASSOCShiny,2957
AssocTests,6091
assortnet,5911
AssotesteR,6665
AST,4818
aster,12646
aster2,6972
astrochron,22144
astrodatR,5729
astroFns,6995
astrolibR,6167
astsa,79175
asus,4129
asVPC,5565
AsyK,2835
asymLD,5184
asymmetry,7542
asympTest,7114
AsynchLong,6126
asypow,7405
atable,5438
atakrig,0
ATE,7306
AtelieR,7662
atlas,4538
atmcmc,6026
ATmet,6062
atmopt,4271
AtmRay,6740
ATR,17038
aTSA,30637
atsd,5626
attachment,5756
attempt,19448
attenuation,642
atus,4768
AUC,65360
aucm,5842
AUCRF,7143
auctestr,4629
audio,46450
audiolyzR,6105
audit,6462
auditor,8352
augmentedRCBD,5361
augSIMEX,7230
auk,8772
aurelius,4981
AurieLSHGaussian,4828
auRoc,6228
AUtests,5265
auth0,6177
auto.pca,5061
autoBagging,4663
autocogs,8639
AutoDeskR,4793
autoencoder,7090
autoFRK,5275
autoimage,6630
automagic,6587
automap,44874
automl,6732
AutoModel,5861
automultinomial,4992
AutoPipe,3102
autoplotly,6603
Autoplotprotein,4779
autopls,6921
AutoregressionMDE,5338
AutoSEARCH,6768
autoshiny,4248
AutoStepwiseGLM,4235
autothresholdr,10129
av,64768
available,8977
avar,1651
averisk,5473
aVirtualTwins,4645
aweek,11653
AWR,6539
AWR.Athena,7546
AWR.Kinesis,4989
AWR.KMS,6498
aws,14272
aws.alexa,11548
aws.ec2metadata,18547836
aws.polly,11890
aws.s3,19922724
aws.signature,1367169
awsjavasdk,4940
awsMethods,16954
AzureAuth,39834
AzureCognitive,657
AzureContainers,7388
AzureGraph,21603
AzureKeyVault,4729
AzureKusto,8775
azuremlsdk,800
AzureRMR,40570
AzureStor,37814
AzureVision,374
AzureVM,6207
AzureVMmetadata,1918
B2Z,6697
b6e6rl,6138
babar,5801
babel,6520
babelwhale,3188
babette,0
BaBooN,7915
babynames,50994
BACA,4983
BacArena,6067
BACCO,8400
BACCT,5140
bacistool,5238
backbone,1402
backpipe,5515
backports,6909503
backShift,5452
backtest,9015
bacondecomp,0
BACprior,6501
bacr,5243
badgecreatr,5784
badger,6800
BAEssd,6177
baggedcv,1833
baggr,1864
BAGofT,423
bagRboostR,6195
bain,5960
bairt,4776
baitmet,4846
balance,5511
BalanceCheck,5305
BalancedSampling,8094
BALCONY,6489
BALD,4006
Ball,7274
BALLI,3034
BallMapper,2142
ballr,6624
BaM,8390
bama,1071
BAMBI,7124
bamboo,5475
bamdit,9170
bamlss,8183
BAMMtools,12869
BaMORC,4164
bamp,4846
bandit,6599
BANEScarparkinglite,5369
bang,6382
bannerCommenter,5624
BANOVA,10922
banR,5564
banter,4114
banxicoR,4926
bapred,5470
BaPreStoPro,5237
BarBorGradient,4819
barcode,14838
baRcodeR,6258
BarcodingR,5277
Barnard,7623
barplot3d,986
barsurf,9102
BART,14921
bartMachine,32299
bartMachineJARs,29170
Barycenter,4917
basad,4508
base2grob,5573
base64,60968
base64enc,5028543
base64url,31986
baseballDBR,4770
baseflow,434
basefun,29885
baseline,12930
basetheme,3012
basicMCMCplots,6281
basicspace,6813
basictabler,8386
basicTrendline,9523
BASiNET,4376
BASIX,12774
basket,2763
BASS,5082
BaSTA,9166
bastah,5089
BAT,10097
batade,6247
batch,8974
BatchExperiments,9028
BatchGetSymbols,21003
BatchJobs,37939
batchmeans,8316
batchscr,2717
batchtools,31447
BaTFLED3D,4897
batman,5509
batteryreduction,5119
BAwiR,5966
baycn,988
bayes4psy,2474
bayesAB,14120
bayesammi,4479
bayesanova,492
BayesBD,4848
BayesBEKK,1008
BayesBinMix,5587
bayesbio,5467
bayesboot,6231
BayesBP,1224
bayesCL,2088
BayesCombo,4764
BayesComm,6107
bayescount,6835
BayesCR,5921
BayesCTDesign,3779
BayesDA,7313
bayesDccGarch,6040
BAYESDEF,4652
bayesDem,7422
bayesdfa,6137
bayesdistreg,3872
BayesESS,4523
BayesFactor,104457
BayesFM,9390
bayesGARCH,9476
BayesGESM,6033
BayesGOF,5391
BayesianAnimalTracker,6104
bayesianETAS,4880
BayesianFROC,2983
BayesianGLasso,4673
BayesianNetwork,6287
BayesianPower,2163
BayesianTools,11309
bayesImageS,9145
BayesLCA,8594
bayesLife,10133
bayeslm,5375
BayesLogit,5562
bayesloglin,4740
bayeslongitudinal,4551
bayesm,188157
BayesMallows,5682
BayesMAMS,5374
BayesMed,6440
bayesmeta,10230
BayesMFSurv,192
bayesmix,9141
BayesMixSurv,5839
BayesNetBP,5126
BayesNI,6057
BayesNSGP,1644
BayesPieceHazSelect,4800
BayesPiecewiseICAR,5793
bayesplot,209135
bayesPop,9191
BayesPostEst,2304
bayespref,6180
bayesQR,8351
bayesreg,2525
Bayesrel,4117
BayesRS,4634
bayess,6900
BayesS5,4974
BayesSAE,6401
BayesSenMC,3827
BayesSpec,4925
BayesSummaryStatLM,6138
BayesSUR,696
bayesSurv,9893
bayest,2096
bayestestR,136629
bayesTFR,11699
BayesTree,11059
BayesTreePrior,5074
BayesTwin,4177
BayesValidate,7083
BayesVarSel,7767
bayesvl,2330
BayesX,27967
BayesXsrc,22740
bayfoxr,3404
BayHaz,7182
BaylorEdPsych,20260
BayLum,4763
baymedr,823
bayou,7966
BaySIC,5743
baystability,4434
BAYSTAR,8009
baytrends,4672
bazar,51739
BB,56127
bbefkr,5847
bbemkr,7599
BBEST,6079
BBI,4245
bbl,1222
BBmisc,202634
bbmle,95523
BBMM,8721
BBMV,4780
bbo,6037
BBRecapture,5737
bbw,4851
bc3net,6802
BCA,8614
BCA1SG,364
bcaboot,3705
BCBCSF,7196
BCC1997,6222
bcdata,954
BCDating,8118
BcDiag,9972
BCE,6854
BCEA,10112
BCEE,5560
BCellMA,4765
bcf,5076
bcgam,4151
BCgee,4550
BCHM,264
Bchron,10872
Bclim,6175
BClustLonG,4063
bcmaps,5824
bcp,61969
bcpa,7298
bcpmeta,5769
BCRA,6041
bcRep,5398
bcrm,11142
bcROCsurface,4878
bcrypt,9905
BCSub,4730
bcv,7192
bdchecks,4040
bdclean,3134
bdDwC,4444
bde,5955
BDEsize,3355
BDgraph,162828
bdots,5649
BDP2,4040
bdpar,1726
bdpopt,5148
bdpv,7892
bdribs,4112
bdscale,6654
bdsmatrix,286214
bdvis,6864
BDWreg,5239
bdynsys,6193
BE,4323
bea.R,6109
BEACH,5428
beadarrayFilter,5006
beadarrayMSV,4700
beadplexr,4380
beam,4386
beanplot,39839
beanz,5510
beast,4974
beastier,2828
beautier,4900
BEDASSLE,6666
BEDMatrix,9110
bedr,12670
beepr,37146
beeswarm,85644
beezdemand,4149
beginr,6326
behaviorchange,5766
behavr,6702
belex,4953
belg,5572
bench,39554
benchden,7537
Benchmarking,19744
benchmarkme,19355
benchmarkmeData,21188
benchr,24640
bender,4608
benford.analysis,9298
BenfordTests,8163
BENMMI,3863
bentcableAR,7584
benthos,5577
BEQI2,5662
ber,6476
Bergm,9620
berryFunctions,16982
BeSS,5672
Bessel,59338
BEST,13203
bestglm,116500
bestNormalize,21234
BESTree,1788
bestSDP,333
BetaBit,4957
betaboost,4223
betacal,4998
betafam,6022
betalink,5672
betapart,17365
BetaPASS,1774
betareg,92472
betas,6609
betategarch,8215
bethel,6285
BETS,12688
BeviMed,5446
BeyondBenford,5429
beyondWhittle,5721
bezier,11954
bfast,12351
bfp,9032
BFpack,779
BFS,927
bfsl,3403
bfw,4277
BGData,5774
bgeva,6093
BGGE,4951
bggum,0
BGLR,15949
bgmfiles,4968
bgmm,7990
BGPhazard,6684
BGSIMD,6228
bgsmtr,6896
BH,6378798
BHAI,836
Bhat,6957
BHH2,15567
bhm,5329
BHMSMAfMRI,7000
bhrcr,4747
BHSBVAR,7918
BHTSpack,4536
biasbetareg,5859
BiasedUrn,81784
bib2df,5665
BiBitR,8990
bibliometrix,57408
BibPlots,5477
bibtex,552152
biclique,4247
biclust,64147
biclustermd,1332
BICORN,3916
BiDAG,6817
BiDimRegression,6241
BIEN,6578
BifactorIndicesCalculator,664
bife,16953
BIFIEsurvey,33069
bigalgebra,7804
biganalytics,16229
bigassertr,4468
bigchess,4764
bigdatadist,4251
BIGDAWG,6284
bigdist,3255
bigGP,1803
bigKRLS,9054
BIGL,8869
biglars,6799
biglasso,13529
bigleaf,7657
biglm,80738
biglmm,4122
bigMap,3503
bigmatch,5406
bigmemory,162672
bigmemory.sri,143433
bigml,6097
bigparallelr,2315
bigQueryR,15300
BigQuic,5575
bigreadr,13558
bigReg,2092
bigrquery,270522
BigSEM,5432
bigsplines,12001
bigstatsr,9516
bigstep,5584
bigtabulate,8876
bigtcr,4508
bigtime,5615
BigTSP,5834
bigutilsr,2380
BigVAR,8533
bikeshare14,4863
bikm1,1703
bild,7188
billboard,4628
billboarder,17414
bimetallic,6122
bimets,4040
bimixt,5231
BimodalIndex,5245
Binarize,6699
BinarybalancedCut,4549
BinaryDosage,0
BinaryEMVS,5148
BinaryEPPM,5835
binaryGP,4650
binaryLogic,20928
binb,6506
BINCOR,4337
binda,19500
bindata,10508
bindr,681031
bindrcpp,746650
binequality,5606
binford,4774
bingat,6066
binGroup,30409
BinGSD,734
binhf,8073
binman,43172
binmapr,750
binMto,6647
binnednp,5840
BinNonNor,9480
BinNor,8089
binom,48829
binomialcftp,5993
binomialMix,248
binomlogit,6225
binomSamSize,7120
BinOrdNonNor,7989
binostics,3679
BinQuasi,3754
binr,10480
BinSegBstrap,638
binseqtest,6496
binsmooth,5824
binsreg,3632
binst,5036
bio.infer,7550
bio3d,17000
bioacoustics,10885
BioCircos,7208
BiocManager,843219
Biocomb,8427
biocompute,430
Biodem,7227
BiodiversityR,35772
BIOdry,5992
BioFTF,5173
biogas,6758
biogeo,5587
biogram,6989
Biograph,7082
Bioi,4507
bioimagetools,6061
bioinactivation,6653
BioInstaller,7490
biolink,5023
Biolinv,4572
BIOM.utils,6459
BioMark,7147
biomartr,15772
BIOMASS,8724
BioMedR,4611
biomod2,25119
bionetdata,5611
bioOED,5548
Biopeak,1732
BioPET,4986
BioPETsurv,0
bioplots,5013
bioPN,5839
BioProbability,0
bioRad,4181
Bios2cor,5659
bios2mds,6908
bioset,4404
biosignalEMG,6153
biospear,4524
biostat3,4626
BioStatR,10938
biotic,5048
biotools,22958
bipartite,31817
bipartiteD3,4730
biplotbootGUI,6909
BiplotGUI,4674
BiProbitPartial,4405
birdring,7070
birk,7908
birtr,5057
BIS,5157
biscale,2519
bisect,3823
bisectr,5804
BiSEp,5223
bisque,3430
BisqueRNA,2428
BisRNA,4528
bit,1206358
bit64,1146866
bitops,2774293
BiTrinA,5686
bitsqueezr,3637
biva,3922
bivariate,8090
Bivariate.Pareto,5324
BivarP,5957
bivarRIpower,6050
BivGeo,5002
bivgeom,4271
bivquant,1552
BivRec,3881
BivRegBLS,3680
bivrp,4731
BivUnifBin,7398
biwavelet,11403
biwt,6884
bizdays,44298
bjscrapeR,3856
bkmr,6164
BKPC,5198
blackbox,9007
blaise,2300
BlakerCI,7117
BlandAltmanLeh,11472
blandr,6391
blastula,22105
blatr,3275
Blaunet,6424
blavaan,33615
BLCOP,7450
blendedLink,5030
blender,5790
Blendstat,4222
blin,3876
blink,4570
blkbox,4930
blm,7195
blme,44002
blmeco,10628
BLModel,5880
blob,1179529
blockcluster,8685
BlockCov,4392
BlockFeST,4240
blockForest,5140
blockmatrix,6446
BlockMessage,5854
blockmodeling,17757
blockmodels,6497
blockrand,9161
blockRAR,2723
blocksdesign,12394
blockTools,9850
blogdown,63850
BLOQ,3899
blorr,6930
BLPestimatoR,7089
BLR,8393
blrm,2112
BLRPM,4406
BLRShiny,3045
blsAPI,7530
blscrapeR,7661
BLSM,3839
bltm,1805
BlythStillCasellaCI,1235
BMA,39834
BMAmevt,6119
bmass,2264
bmd,6248
bmem,6583
bmeta,5610
BMisc,6626
Bmix,7625
bmixture,8104
bmk,5646
bmlm,7231
bmmix,5547
bmotif,4098
bmp,103036
BMRBr,4796
bmrm,8925
BMRSr,1566
BMRV,5190
BMS,13980
BMT,5080
BMTME,5451
bnclassify,8747
BNDataGenerator,5507
bnlearn,72490
bnma,371
BNN,4472
bnnSurvival,5428
bnormnlr,5397
bnpa,1859
BNPdensity,7013
BNPmix,4100
BNPMIXcluster,4796
bnpmr,5922
bnpsd,5373
BNPTSclust,6541
BNSL,5605
BNSP,8335
bnspatial,8238
bnstruct,8802
bnviewer,7366
boa,10734
BoardGames,4971
bodenmiller,4432
BOG,5540
boilerpipeR,11098
BOIN,7357
bold,34548
Bolstad,12900
Bolstad2,8399
BoltzMM,6442
bomrang,9367
BondValuation,4145
BonEV,4761
bookdown,262231
BoolFilter,4471
BoolNet,10937
Boom,182868
BoomSpikeSlab,210093
boostmtree,5637
boostr,5837
boot,706613
bootcluster,4463
bootES,16440
bootImpute,1813
bootLR,6184
BootMRMR,4555
bootnet,18051
BootPR,7422
bootRes,7120
bootruin,6810
bootspecdens,6019
bootsPLS,5816
bootStepAIC,7369
bootstrap,65923
bootstrapFP,3863
BootstrapQTL,3978
bootSVD,5689
boottol,5466
BootWPTOS,4797
Boptbd,0
bor,4045
boral,8487
borrowr,2062
Boruta,86579
BosonSampling,4570
BoSSA,8554
bossMaps,4579
BOSSreg,311
botor,902
boussinesq,6637
boxcoxmix,5921
boxplotdbl,8462
boxr,9321
bpa,5712
bpbounds,3905
bpca,9405
bpcp,8536
bPeaks,5600
bpgmm,1592
BPM,3760
bpnreg,4327
bpp,4566
bqtl,9139
bracer,1629
BradleyTerry2,259807
BradleyTerryScalable,4798
braidReports,4779
braidrm,5164
BrailleR,6614
brainGraph,7358
brainKCCA,3728
brainR,6113
brainwaver,6951
Branching,5150
brandwatchR,4152
brant,7127
braQCA,4812
brazilmaps,6736
brea,4670
breakage,5900
breakaway,6668
breakDown,12586
breakfast,4066
breakpoint,6751
breathtestcore,4530
breathteststan,4469
BreedingSchemeLanguage,4305
bReeze,7901
BRETIGEA,3877
brew,1390431
brglm,265833
brglm2,10336
bridgedist,5365
bridger2,4271
bridgesampling,84586
brinton,89
briqr,1837
BRISC,4471
briskaR,4315
BRL,0
brlrmr,5827
brm,5413
brms,129348
brnn,27405
Brobdingnag,82333
broman,12038
broom,3972647
broom.mixed,32107
broomExtra,27418
brotli,9352
BrownDog,4479
Brq,9674
brr,4925
brranching,9840
brt,4653
BRugs,25861
Brundle,4566
brunnermunzel,5074
bs4Dash,29921
BSagri,6528
bsam,5430
bsamGP,7105
BSDA,88812
bsearchtools,4760
BSGS,5296
BSGW,5699
bshazard,9292
bSims,203
BSL,6523
BsMD,36006
BSPADATA,4069
bspec,8968
bsplinePsd,4748
bsplus,9792
bspmma,7534
BSSasymp,6443
bssm,8012
bssn,5262
bst,35031
bsts,184575
btb,5507
BTdecayLasso,3828
btergm,37812
BTLLasso,9150
BTM,5377
BTSPAS,6578
BTYD,140059
BTYDplus,89757
bucky,4957
BUCSS,5745
Buddle,3859
buildmer,6502
bujar,5953
bulletcp,3220
bulletr,3955
BullsEyeR,4397
bullwhipgame,4271
bunching,1235
bunchr,5200
bundesbank,2646
bundesligR,4973
bupaR,16544
burnr,9269
BurStFin,7663
BurStMisc,11156
bursts,14667
busdater,3953
BusinessDuration,4116
butcher,2539
BuyseTest,6574
Bvalue,0
BVAR,4078
bvarsv,7392
bvartools,3010
bvenn,5975
bvls,8528
BVS,6373
BVSNLP,6152
bwd,4428
bWGR,11095
bwimage,2553
BWStest,16070
bwsTools,276
bysykkel,3513
bytescircle,4226
bzinb,4124
c060,6630
c14bazAAR,4298
c212,5661
c2c,4285
c3,5071
c3net,8597
C443,4088
C50,146489
ca,119633
CA3variants,4679
cabinets,845
cabootcrs,6770
cacIRT,7383
CaDENCE,6318
CADFtest,13563
CADStat,6190
caesar,4812
caffsim,4326
cAIC4,12130
CAinterprTools,4255
Cairo,566670
cairoDevice,115990
CAISEr,4662
calACS,5256
Calculator.LR.FNs,5323
calculus,757
calcWOI,2683
calendar,4242
CALF,5170
calibrar,4798
calibrate,58179
calibrateBinary,4010
CalibrateSSB,5503
calibrator,11782
CalibratR,5173
callr,4847475
calmate,6196
calpassapi,3841
CalSim,3771
CAMAN,6371
CamelUp,1301
camsRad,4379
caMST,4872
camtrapR,11114
cancensus,6572
cancerGI,4444
cancerTiming,6174
candisc,44347
Canopy,4994
canprot,4969
cansim,5944
CANSIM2R,5945
canvasXpress,10759
cap,3841
caper,17543
capitalR,4267
capm,7361
capn,4490
CaPO4Sim,2848
captioner,10825
captr,5093
capushe,8596
capwire,5906
car,2500728
caRamel,5411
carat,0
CARBayes,15875
CARBayesdata,11258
CARBayesST,10000
carbonate,5356
carcass,6257
carData,1632479
cardidates,6574
cardioModel,5081
care,23441
CARE1,6313
careless,5524
caret,1846767
caretEnsemble,51768
caribou,6147
CarletonStats,6194
CARLIT,5573
caroline,11026
carpenter,5170
caRpools,4649
carrier,13578
CARRoT,6085
CARS,17435
carSurv,3911
cartograflow,2409
cartogram,42346
cartography,38677
cartools,4961
carx,5964
Cascade,4651
CascadeData,3805
caschrono,12003
cascsim,2307
casebase,4365
caseMatch,7049
casino,3919
CASMAP,3810
cassandRa,2105
CAST,5844
castor,8622
cat,9337
cat.dt,1779
catch,3776
catchr,4233
catcont,3987
catdap,5293
catdata,24899
CatDyn,6521
cate,5810
catenary,5857
CatEncoders,6641
CateSelection,5575
catfun,2345
catIrt,6265
CATkit,4815
catlearn,6800
catmap,5014
catnet,11733
caTools,2471220
CatPredi,4433
catR,12068
catseyes,3673
catspec,8190
catSurv,4379
CATT,4940
CATTexact,4123
cattonum,4774
causaldrf,4948
causaleffect,8632
CausalFX,4847
CausalGAM,6402
CausalImpact,128069
CausalKinetiX,3208
causalMGM,4379
causalsens,5888
causalweight,4519
Causata,5490
CautiousLearning,1846
CAvariants,8800
CAWaR,1588
CB2,3910
cba,43744
cbanalysis,4637
cbar,4581
CBCgrps,5688
CBDA,3949
cbinom,4952
cbird,4485
cblasr,2242
CBPS,16822
cbq,0
cbsem,3623
cbsodataR,10334
CBT,4024
CC,1803
CCA,20881
ccafs,4532
CCAGFA,6614
CCAMLRGIS,155
ccaPP,7973
cccd,20593
ccChooser,5474
cccp,10264
cccrm,6236
ccda,6309
ccdrAlgorithm,5724
ccfa,4070
cchs,7104
cclust,12678
CCM,6266
ccmm,4186
ccostr,1136
CCP,11529
CCpop,5311
ccRemover,4399
ccrs,3081
ccss,779
cctools,7493
CCTpack,6575
cdata,20552
cdb,5682
cdcfluview,6702
cdcsis,7394
cde,1457
cder,1670
cdfquantreg,10006
CDFt,7032
CDLasso,5981
cdlTools,5485
CDM,54384
CDNmoney,8593
cdom,5394
cdparcoord,5594
CDROM,4922
cds,6316
CDVine,29211
CDVineCopulaConditional,4759
CEC,6305
cec2013,6021
ced,0
ceg,4185
CEGO,6842
celestial,11967
cellranger,3351101
